,Name,Picture,Rarity,Family,Role,Max HP,Max MP,Max ATK,Max DEF,Max AGL,Max WIS,Move,Frizz,Sizz,Crack,Woosh,Bang,Zap,Zam,,Sleep,Poison,Physical Lock,Spell Lock,Martial Lock,Breath Lock,Hobble,Stun,Blind,Curse,Paralysis,Confusion,Charmed,,Leader Skill,1st Awakening Passive,Ability Scroll Suggestion,How to Obtain,Battle Road?,Skill 1 - Damage Type,Skill 1 - Damage Element,Skill 1 - Type/Range,Skill 1 - Cost,Skill 1 - Name,Skill 1 - Description,Skill 2 - Damage Type,Skill 2 - Damage Element,Skill 2 - Type/Range,Skill 2 - Cost,Skill 2 - Name,Skill 2 - Description,Skill 3 - Damage Type,Skill 3 - Damage Element,Skill 3 - Range,Skill 3 - Cost,Skill 3 - Name,Skill 3 - Description
146,Skeleton,,E,Undead,Attack,370,87,210,105,142,73,2,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,,,Story,Yes,Attack/Physical,Zam,Range: 1,Base MP: 3,Dark Blow,Deals 120% potency Zam-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 2,Base MP: 5,Skeletoss,Deals 100% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
147,Stump Chump,,E,Nature,Support,478,143,130,123,83,88,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,,,Story,Yes,Support/Martial,Typeless,Range: 1-2(+self),Base MP: 7,Medicinal Herb,Heals HP for 1 ally.,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Fizzle,Occasionally locks 1 enemy's spells.,,[''],[''],[''],,['']
148,Teeny Sanguini,,E,Demon,Magic,238,108,130,111,157,155,2,Weak,Weak,,,Heavy Res,Heavy Res,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,,,Story,Yes,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
150,Bunicorn,,F,Beast,Attack,321,68,138,100,131,73,2,Weak,,Heavy Res,Weak,Heavy Res,,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 4,Sharp Claws,Deals 130% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
151,Candy Cat,,F,Beast,Attack,218,75,153,100,135,73,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Sizz,Range: 1,Base MP: 3,Sizzling Slash,Deals 120% potency Sizz-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 4,Rend,Deals 130% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
152,Dracky,,F,Demon,Magic,236,111,118,111,70,103,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,Story,Yes,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
153,Ghost,,F,Undead,Magic,201,102,145,96,81,100,4,,Weak,Weak,Heavy Res,,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,,,Story,Yes,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,,[''],[''],[''],,['']
154,Hammerhood,,F,Beast,Attack,345,68,153,105,78,70,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Half Res,,,,Weak,,,,,Immune,,,,,,,,Story,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Helm Splitter,"Deals 130% potency physical damage to 1 enemy, occasionally lowers DEF for 3 turns.",,[''],[''],[''],,['']
155,Mischievous Mole,,F,Beast,Attack,216,78,212,100,78,67,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Bang,Range: 1,Base MP: 3,Bomb Slash,Deals 120% potency Bang-type physical damage to 1 enemy.,Support/Martial,Typeless,Range: Self,Base MP: 14,Attack Prep,Greatly raises the user's ATK for 1 turn.,,[''],[''],[''],,['']
156,Platypunk,,F,Beast,Attack,242,75,157,135,70,70,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Typeless,Range: 1,Base MP: 4,Swipestorm,Deals 28% potency physical damage to 1 enemy 4 times.,Attack/Physical,Typeless,Range: 1,Base MP: 7,Pounce,Deals 145% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
157,Slime,,F,Slime,Attack,242,111,118,100,110,73,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Spell,Zap,Range: 3,Base MP: 4,Zap,Deals minor Zap-type spell damage to 1 enemy.,,[''],[''],[''],,['']
158,Stark Raven,,F,Nature,Attack,300,70,168,76,108,63,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,DQIII Event,Yes - limited time,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Physical,Typeless,Range: 2,Base MP: 5,Skeletoss,Deals 100% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
